endpoint,mean,p50,p95,p99,mn,mx
GET  /jobs  (indexed Mongo query),1.521197000000143,1.5316575000383637,1.7175635500336737,1.8756626299875732,1.2882250000529893,1.92039000000932
POST /shortlist (upsert + count + update),1.8732681000011553,1.8470360000151231,2.23413689999461,2.403103420034539,1.604090000000724,2.584887000011804
POST /match-resumes  limit=10,6.325444955002695,5.9904299999971045,6.684371100095632,9.719120760020129,5.62770300007287,55.14952800001538
POST /match-resumes  limit=50,7.301415609995843,7.237429500037251,7.918202800061635,8.210133880002102,6.90566299999773,9.913661999917167
POST /match-resumes  limit=100,9.0512744150044,8.718930000043201,9.32760140008213,11.788198769991132,8.41794400002982,56.90630600008717
POST /match-resumes  limit=500,22.93113508499971,22.27897049999683,24.84515779999582,26.82412379005412,21.666184000082467,75.29083499991884
