f,dur,sr,noise,zcr,zcr_trim,mfcc_naive,upgraded
0966ba07-00d5-4ec5-a25d-47207e414ca4_a1.wav,4.2,48000,0.0031364921014755964,9.637402839467004,9.839074502444134,180.9940948486328,8.712631225585938
0966ba07-00d5-4ec5-a25d-47207e414ca4_a2.wav,4.44,48000,0.00414385087788105,10.0,10.0,219.49285888671875,9.492161750793457
0966ba07-00d5-4ec5-a25d-47207e414ca4_a3.wav,3.6,48000,0.002890228759497404,10.0,10.0,234.31320190429688,9.799287796020508
0966ba07-00d5-4ec5-a25d-47207e414ca4_a4.wav,3.3,48000,0.003137946128845215,9.037203881048388,9.68759300595238,207.74838256835938,9.412745475769043
0966ba07-00d5-4ec5-a25d-47207e414ca4_a5.wav,3.24,48000,0.011370793916285038,10.0,10.0,153.21543884277344,9.634974479675293
24a420a4-03f8-4098-be01-b30c99edc53e_a1.wav,1.38,48000,3.2446032491861843e-06,6.015700120192308,6.015700120192308,9.628615379333496,6.8784098625183105
24a420a4-03f8-4098-be01-b30c99edc53e_a2.wav,2.04,48000,3.217390940335463e-06,5.691396077473958,5.691396077473958,9.720893859863281,6.300540447235107
24a420a4-03f8-4098-be01-b30c99edc53e_a3.wav,1.38,48000,3.2446032491861843e-06,6.015700120192308,6.015700120192308,9.628615379333496,6.8784098625183105
24a420a4-03f8-4098-be01-b30c99edc53e_a4.wav,1.5,48000,3.210364184269565e-06,5.9286486037234045,5.9286486037234045,9.425918579101562,6.489519119262695
24a420a4-03f8-4098-be01-b30c99edc53e_a5.wav,0.96,48000,3.0686496756970882e-06,6.368067479395604,6.368067479395604,10.60858154296875,7.058507919311523
37462ae1-a926-4d82-9b3d-8e5d4e6b9b4f_a1.wav,2.52,48000,0.0021802945993840694,10.0,10.0,27.563108444213867,7.4059224128723145
37462ae1-a926-4d82-9b3d-8e5d4e6b9b4f_a2.wav,1.68,48000,0.0023123749997466803,10.0,10.0,58.53938293457031,9.026653289794922
37462ae1-a926-4d82-9b3d-8e5d4e6b9b4f_a3.wav,3.3,48000,0.0024027845356613398,10.0,10.0,168.64401245117188,8.837017059326172
37462ae1-a926-4d82-9b3d-8e5d4e6b9b4f_a4.wav,3.3,48000,0.007535632699728012,10.0,10.0,36.93054962158203,7.737993240356445
37462ae1-a926-4d82-9b3d-8e5d4e6b9b4f_a5.wav,6.48,48000,0.0008368686540052295,10.0,10.0,71.22514343261719,7.262452125549316
414117ff-9427-4811-a9ea-aedbb337ad4e_a1.wav,6.0,48000,2.93976950160868e-06,5.114179756882771,5.114179756882771,8.787564277648926,6.672951698303223
414117ff-9427-4811-a9ea-aedbb337ad4e_a2.wav,2.4,48000,3.1372526336781448e-06,5.532148783185841,5.532148783185841,9.43422794342041,7.183963775634766
414117ff-9427-4811-a9ea-aedbb337ad4e_a3.wav,1.68,48000,3.1181286885839654e-06,5.821214893196203,5.821214893196203,9.784597396850586,5.837143898010254
414117ff-9427-4811-a9ea-aedbb337ad4e_a4.wav,1.08,48000,3.163130941175041e-06,6.248985140931373,6.248985140931373,10.167705535888672,5.397352695465088
414117ff-9427-4811-a9ea-aedbb337ad4e_a5.wav,1.14,48000,3.163857400068082e-06,6.1948196553738315,6.1948196553738315,10.045127868652344,6.533987045288086
4464d58d-46f1-4c49-b958-c938f9c86b30_a1.wav,13.62,48000,0.0025775728281587362,10.0,10.0,157.90774536132812,10.0
