snr,feature,mean_abs_drift,rank_stability
20,ZCR clarity (current),1.1772698004082962,0.14324903599485167
20,MFCC variance (no denoising),0.4122444587220498,0.9620895922689336
20,Upgraded denoise+VAD+CMVN Mel,0.18399444349638203,0.9600759750801919
15,ZCR clarity (current),1.204328663595208,
15,MFCC variance (no denoising),0.9242935544223835,0.9186472635505686
15,Upgraded denoise+VAD+CMVN Mel,0.24828138287431453,0.940653388101665
10,ZCR clarity (current),1.204328663595208,
10,MFCC variance (no denoising),1.740979532009482,0.8953543080379063
10,Upgraded denoise+VAD+CMVN Mel,0.45795128411768976,0.8166726187222767
5,ZCR clarity (current),1.204328663595208,
5,MFCC variance (no denoising),2.828512730376955,0.831850564479181
5,Upgraded denoise+VAD+CMVN Mel,0.5061340752043206,0.8441335522369537
0,ZCR clarity (current),1.204328663595208,
0,MFCC variance (no denoising),3.727414818824492,0.8002198830501212
0,Upgraded denoise+VAD+CMVN Mel,0.8427051957479884,0.7204601016142339
