endpoint,conc,rps,n,err,p50,p95
GET /jobs,1,658.1466077785426,3949,0,1.5118999999685911,1.7107112000530833
GET /jobs,4,676.694542138939,4063,0,5.754039999942506,8.70460869995213
GET /jobs,8,680.6318173377472,4088,0,11.20151650002299,19.740523950002846
GET /jobs,16,674.3977916570166,4053,0,22.767511999973067,43.95593020003616
POST /match-resumes limit=50,1,136.9994147213902,823,0,7.17068599999493,7.832963400085191
POST /match-resumes limit=50,4,132.46218292298124,797,0,28.827314999944065,41.75745980003284
POST /match-resumes limit=50,8,133.23111776801736,804,0,57.885223999960544,84.01563499998583
POST /match-resumes limit=50,16,130.66443379910274,795,0,118.8229639999463,161.59930239998627
