component,phase,n,mean_ms,p50_ms,p95_ms,min_ms,max_ms,mean_realtime_factor,mean_clip_seconds,per_doc_ms
Whisper base (STT),model load,1,20252.229100005934,20252.229100005934,20252.229100005934,20252.229100005934,20252.229100005934,,,
Whisper base (STT),cold call,1,33952.25850000861,33952.25850000861,33952.25850000861,33952.25850000861,33952.25850000861,,,
Whisper base (STT),steady state,20,16128.700815000047,5590.581849988666,62557.57701500697,4917.987099994207,63957.76710001519,5.777399704078569,2.6879999999999997,
MiniLM-L6-v2 (encode),model load,1,6324.8508000106085,6324.8508000106085,6324.8508000106085,6324.8508000106085,6324.8508000106085,,,
MiniLM-L6-v2 (encode),1 document,50,22.107446002191864,21.741399992606603,27.677254991431255,17.572600016137585,28.39049999602139,,,
MiniLM-L6-v2 (encode),batch of 50,1,634.6604000136722,634.6604000136722,634.6604000136722,634.6604000136722,634.6604000136722,,,12.693208000273444
MiniLM-L6-v2 (encode),batch of 200,1,3396.0746999946423,3396.0746999946423,3396.0746999946423,3396.0746999946423,3396.0746999946423,,,16.98037349997321
MiniLM-L6-v2 (encode),batch of 600,1,12528.32149999449,12528.32149999449,12528.32149999449,12528.32149999449,12528.32149999449,,,20.88053583332415
